DESCRIPTION,INCIDENT-NUMBER,LOCATION,AGENCY,DATE
LARCENY-OTHER,20211104-2057-02,8600 BLOCK UNIVERSITY EXECUTIVE PARK DR,Charlotte-Mecklenburg Police,11-4-2021 8:57 PM
NON-AGGRAVATED ASSAULT,20211104-1925-05,10300 BLOCK PINESHADOW DR,Charlotte-Mecklenburg Police,11-4-2021 7:25 PM
AUTO THEFT,20211104-1922-02,17800 BLOCK HALTON PARK DR,Charlotte-Mecklenburg Police,11-4-2021 7:22 PM
RESIDENTIAL BURGLARY,20211104-1833-00,8300 BLOCK PACES OAKS BV,Charlotte-Mecklenburg Police,11-4-2021 6:33 PM
LARCENY-SHOPLIFTING,20211104-1542-01,10000 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,11-4-2021 3:42 PM
SUSPICIOUS PERSON,V1104150903,100 BLOCK CLARK BV,Charlotte-Mecklenburg Police,11-4-2021 3:09 PM
FRAUD,20211104-1413-03,1000 BLOCK CHANCELLOR PARK DR,Charlotte-Mecklenburg Police,11-4-2021 2:13 PM
AUTO THEFT,20211104-0421-04,100 BLOCK E MCCULLOUGH DR,Charlotte-Mecklenburg Police,11-4-2021 4:21 AM
AGGRAVATED ASSAULT-KNIFE,20211104-0334-00,9200 BLOCK GLENWATER DR,Charlotte-Mecklenburg Police,11-4-2021 3:34 AM
LARCENY FROM AUTO,20211103-2032-02,200 BLOCK E W T HARRIS BV,Charlotte-Mecklenburg Police,11-3-2021 8:32 PM
AGGRAVATED ASSAULT-OTHER WEAPON,20211103-1951-01,7700 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,11-3-2021 7:51 PM
FORGERY,20211103-1625-01,8600 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,11-3-2021 4:25 PM
SUSPICIOUS PERSON,V1103151301,10800 BLOCK JOHN RUSSELL RD,Charlotte-Mecklenburg Police,11-3-2021 3:13 PM
LARCENY FROM AUTO,20211103-1148-01,9800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,11-3-2021 11:48 AM
AUTO THEFT,20211103-1017-02,300 BLOCK HERITAGE LAKE DR,Charlotte-Mecklenburg Police,11-3-2021 10:17 AM
SUSPICIOUS VEHICLE,V1103094800,100 BLOCK E MCCULLOUGH DR,Charlotte-Mecklenburg Police,11-3-2021 9:48 AM
VANDALISM,20211102-2150-02,9800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,11-2-2021 9:50 PM
