DESCRIPTION,INCIDENT-NUMBER,LOCATION,AGENCY,DATE,LONGITUDE,LATITUDE
LARCENY-OTHER,20211104-2057-02,8600 UNIVERSITY EXECUTIVE PARK DR,Charlotte-Mecklenburg Police,11-4-2021 8:57 PM,-80.75332,35.306
NON-AGGRAVATED ASSAULT,20211104-1925-05,10300 PINESHADOW DR,Charlotte-Mecklenburg Police,11-4-2021 7:25 PM,-80.7323,35.32475
AUTO THEFT,20211104-1922-02,17800 HALTON PARK DR,Charlotte-Mecklenburg Police,11-4-2021 7:22 PM,-80.70643,35.31561
RESIDENTIAL BURGLARY,20211104-1833-00,8300 PACES OAKS BV,Charlotte-Mecklenburg Police,11-4-2021 6:33 PM,-80.73975,35.29173
LARCENY-SHOPLIFTING,20211104-1542-01,10000 N TRYON ST,Charlotte-Mecklenburg Police,11-4-2021 3:42 PM,-80.73327,35.32158
SUSPICIOUS PERSON,V1104150903,100 CLARK BV,Charlotte-Mecklenburg Police,11-4-2021 3:09 PM,-80.75482,35.29716
FRAUD,20211104-1413-03,1000 CHANCELLOR PARK DR,Charlotte-Mecklenburg Police,11-4-2021 2:13 PM,-80.74324,35.29338
AUTO THEFT,20211104-0421-04,100 E MCCULLOUGH DR,Charlotte-Mecklenburg Police,11-4-2021 4:21 AM,-80.75483,35.30098
AGGRAVATED ASSAULT-KNIFE,20211104-0334-00,9200 GLENWATER DR,Charlotte-Mecklenburg Police,11-4-2021 3:34 AM,-80.75012,35.31629
LARCENY FROM AUTO,20211103-2032-02,200 E W T HARRIS BV,Charlotte-Mecklenburg Police,11-3-2021 8:32 PM,-80.74839,35.30412
AGGRAVATED ASSAULT-OTHER WEAPON,20211103-1951-01,7700 N TRYON ST,Charlotte-Mecklenburg Police,11-3-2021 7:51 PM,-80.75589,35.29239
FORGERY,20211103-1625-01,8600 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,11-3-2021 4:25 PM,-80.73834,35.29622
SUSPICIOUS PERSON,V1103151301,10800 JOHN RUSSELL RD,Charlotte-Mecklenburg Police,11-3-2021 3:13 PM,-80.70315,35.29126
LARCENY FROM AUTO,20211103-1148-01,9800 UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,11-3-2021 11:48 AM,-80.72019,35.30827
