
SUSPICIOUS PERSON,V1031234903,1700 BLOCK MARLYNN DR,Charlotte-Mecklenburg Police,10-31-2021 11:49 PM
LARCENY FROM AUTO,20211031-1856-01,9900 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-31-2021 6:56 PM
LARCENY-SHOPLIFTING,20211030-1902-01,9300 BLOCK N TRYON ST,Charlotte-Mecklenburg Police,10-30-2021 7:02 PM
POSSESSION OF MARIJUANA,20211030-1649-00,1000 BLOCK JOHN KIRK DR,Charlotte-Mecklenburg Police,10-30-2021 4:49 PM
AGGRAVATED ASSAULT-KNIFE,20211030-1648-00,9800 BLOCK GLANWORTH CT,Charlotte-Mecklenburg Police,10-30-2021 4:48 PM
LARCENY FROM AUTO,20211030-1008-00,10000 BLOCK DABNEY DR,Charlotte-Mecklenburg Police,10-30-2021 10:08 AM
AGGRAVATED ASSAULT-GUN,20211030-0328-01,9600 BLOCK VINCA CR,Charlotte-Mecklenburg Police,10-30-2021 3:28 AM
NON-AGGRAVATED ASSAULT,20211029-2118-02,1300 BLOCK KILLASHEE CT,Charlotte-Mecklenburg Police,10-29-2021 9:18 PM
TRESPASS,20211029-1820-01,8900 BLOCK J M KEYNES DR,Charlotte-Mecklenburg Police,10-29-2021 6:20 PM
NON-AGGRAVATED ASSAULT,20211029-1216-02,9800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-29-2021 12:16 PM
TRESPASS,20211029-1122-02,9500 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-29-2021 11:22 AM
LARCENY-OTHER,20211029-0715-04,8300 BLOCK PACES OAKS BV,Charlotte-Mecklenburg Police,10-29-2021 7:15 AM
SUSPICIOUS VEHICLE,V1028215002,9600 BLOCK VINCA CR,Charlotte-Mecklenburg Police,10-28-2021 9:50 PM
LARCENY-OTHER,20211028-1824-03,900 BLOCK E W T HARRIS BV,Charlotte-Mecklenburg Police,10-28-2021 6:24 PM
LARCENY-OTHER,20211028-1639-02,9800 BLOCK UNIVERSITY CITY BV,Charlotte-Mecklenburg Police,10-28-2021 4:39 PM






















